data,casos_novos,pop,indice_isolamento,casos_novos_por_pop
2020-08-17,16,141135,0.38,0.00011336663478230063
2020-08-18,8,141135,0.41,5.6683317391150314e-05
2020-08-19,14,141135,0.38,9.919580543451306e-05
2020-08-20,34,141135,0.38,0.00024090409891238884
2020-08-21,21,141135,0.39,0.00014879370815176957
2020-08-22,15,141135,0.41,0.00010628122010840685
2020-08-23,30,141135,0.46,0.0002125624402168137
2020-08-24,20,141135,0.39,0.00014170829347787578
2020-08-25,10,141135,0.37,7.085414673893789e-05
2020-08-26,57,141135,0.38,0.000403868636411946
2020-08-27,7,141135,0.37,4.959790271725653e-05
2020-08-28,38,141135,0.37,0.000269245757607964
2020-08-29,3,141135,0.37,2.125624402168137e-05
2020-08-30,4,141135,0.44,2.8341658695575157e-05
2020-08-31,3,141135,0.37,2.125624402168137e-05
2020-09-01,39,141135,0.38,0.0002763311722818578
2020-09-02,39,141135,0.37,0.0002763311722818578
2020-09-03,14,141135,0.37,9.919580543451306e-05
2020-09-04,37,141135,0.36,0.0002621603429340702
2020-09-05,19,141135,0.37,0.000134622878803982
2020-09-06,13,141135,0.41,9.211039076061927e-05
2020-09-07,18,141135,0.44,0.00012753746413008823
2020-09-08,0,141135,0.37,0.0
2020-09-09,12,141135,0.37,8.502497608672548e-05
2020-09-10,24,141135,0.37,0.00017004995217345095
2020-09-11,19,141135,0.35,0.000134622878803982
2020-09-12,31,141135,0.38,0.00021964785489070747
2020-09-13,3,141135,0.43,2.125624402168137e-05
2020-09-14,3,141135,0.37,2.125624402168137e-05
2020-09-15,19,141135,0.37,0.000134622878803982
2020-09-16,23,141135,0.36,0.00016296453749955716
2020-09-17,26,141135,0.37,0.00018422078152123853
2020-09-18,37,141135,0.36,0.0002621603429340702
2020-09-19,34,141135,0.38,0.00024090409891238884
2020-09-20,0,141135,0.44,0.0
2020-09-21,18,141135,0.38,0.00012753746413008823
2020-09-22,2,141135,0.38,1.4170829347787579e-05
2020-09-23,19,141135,0.38,0.000134622878803982
2020-09-24,7,141135,0.37,4.959790271725653e-05
2020-09-25,21,141135,0.37,0.00014879370815176957
2020-09-26,12,141135,0.37,8.502497608672548e-05
2020-09-27,0,141135,0.42,0.0
2020-09-28,0,141135,0.38,0.0
2020-09-29,14,141135,0.37,9.919580543451306e-05
2020-09-30,18,141135,0.37,0.00012753746413008823
2020-10-01,13,141135,0.37,9.211039076061927e-05
2020-10-02,20,141135,0.37,0.00014170829347787578
2020-10-03,14,141135,0.36,9.919580543451306e-05
2020-10-04,0,141135,0.43,0.0
2020-10-05,0,141135,0.37,0.0
2020-10-06,19,141135,0.36,0.000134622878803982
2020-10-07,9,141135,0.36,6.376873206504411e-05
2020-10-08,12,141135,0.37,8.502497608672548e-05
2020-10-09,10,141135,0.36,7.085414673893789e-05
2020-10-10,16,141135,0.36,0.00011336663478230063
2020-10-11,0,141135,0.43,0.0
2020-10-12,2,141135,0.41,1.4170829347787579e-05
2020-10-13,2,141135,0.36,1.4170829347787579e-05
2020-10-14,22,141135,0.36,0.00015587912282566337
2020-10-15,9,141135,0.37,6.376873206504411e-05
2020-10-16,4,141135,0.37,2.8341658695575157e-05
2020-10-17,15,141135,0.38,0.00010628122010840685
2020-10-18,4,141135,0.42,2.8341658695575157e-05
2020-10-19,0,141135,0.37,0.0
2020-10-20,46,141135,0.37,0.0003259290749991143
2020-10-21,7,141135,0.36,4.959790271725653e-05
2020-10-22,4,141135,0.36,2.8341658695575157e-05
2020-10-23,13,141135,0.37,9.211039076061927e-05
2020-10-24,17,141135,0.36,0.00012045204945619442
2020-10-25,19,141135,0.42,0.000134622878803982
2020-10-26,3,141135,0.37,2.125624402168137e-05
2020-10-27,9,141135,0.37,6.376873206504411e-05
2020-10-28,7,141135,0.37,4.959790271725653e-05
2020-10-29,3,141135,0.36,2.125624402168137e-05
2020-10-30,5,141135,0.37,3.5427073369468946e-05
2020-10-31,8,141135,0.38,5.6683317391150314e-05
2020-11-01,0,141135,0.44,0.0
2020-11-02,0,141135,0.43,0.0
2020-11-03,1,141135,0.36,7.085414673893789e-06
2020-11-04,5,141135,0.37,3.5427073369468946e-05
2020-11-05,7,141135,0.35,4.959790271725653e-05
2020-11-06,0,141135,0.35,0.0
2020-11-07,0,141135,0.38,0.0
2020-11-08,0,141135,0.42,0.0
2020-11-09,0,141135,0.35,0.0
2020-11-10,45,141135,0.37,0.0003188436603252205
2020-11-11,14,141135,0.36,9.919580543451306e-05
2020-11-12,5,141135,0.35,3.5427073369468946e-05
2020-11-13,14,141135,0.35,9.919580543451306e-05
2020-11-14,1,141135,0.37,7.085414673893789e-06
